369					𒛽	AK~b	AK~b	AK-B
370					𒛾	AL	AL	AL
371					𒛿	ALAN~a	ALAN~a	ALAN-A
372					𒜀	ALAN~b	ALAN~b	ALAN-B
373					𒜁	ALAN~c	ALAN~c	ALAN-C
374					𒜂	ALAN~d	ALAN~d	ALAN-D
375					𒜃	ALAN~e	ALAN~e	ALAN-E
376	remove				𒜄	ALAN~f	ALAN~f	ALAN-F
377					𒜅	ALIM	ALIM	ALIM
378					𒜆	AM~a	AM~a	AM-A
379					𒜇	AM~b	AM~b	AM-B
380					𒜈	AMA~a	AMA~a	AMA-A
380.1					𒜉	AMA~a	AMA~a~v1	AMA-A VARIANT 1
381					𒜊	AMA~b	AMA~b	AMA-B
382					𒜋	AMAR	AMAR	AMAR
382.1					𒜌	AMAR	AMAR~v1	AMAR VARIANT 1
382.2					𒜍	AMAR	AMAR~v2	AMAR VARIANT 2
383					𒜎	AMAR@g	AMAR@g	AMAR GUNU
384					𒜏	AN	AN	AN
384.1	delete			# Duplicates 384 AN 𒜏 	𒜐	AN	AN~v1	AN VARIANT 1
384.2					𒜑	AN	AN~v2	AN VARIANT 2
385					𒜒	ANSZE~a	ANŠE~a	ANSHE-A
386					𒜓	ANSZE~b	ANŠE~b	ANSHE-B
387					𒜔	ANSZE~c	ANŠE~c	ANSHE-C
388					𒜕	ANSZE~e	ANŠE~e	ANSHE-E
389	remove				𒜖	ANZU2	ANZU₂	ANZU2
390					𒜗	APIN~a	APIN~a	APIN-A
391					𒜘	APIN~b	APIN~b	APIN-B
392					𒜙	APIN~c	APIN~c	APIN-C
393					𒜚	ARARMA2~a	ARARMA₂~a	ARARMA2-A
393.1					𒜛	ARARMA2~a	ARARMA₂~a~v1	ARARMA2-A VARIANT 1
394					𒜜	ARARMA2~b	ARARMA₂~b	ARARMA2-B
395					𒜝	ARATTA	ARATTA	ARATTA
396	remove				𒜞	ASAL2	ASAL₂	ASAL2
397					𒜟	ASAR	ASAR	ASAR
398					𒜠	ASZ2	AŠ₂	ASH2
399					𒜡	AZ	AZ	AZ
400					𒜢	AZU	AZU	AZU
401					𒜣	BA	BA	BA
402					𒜤	BAD	BAD	BAD
403					𒜥	BAD3~a	BAD₃~a	BAD3-A
404					𒜦	BAD3~b1	BAD₃~b1	BAD3-B1
405					𒜧	BAD3~b2	BAD₃~b2	BAD3-B2
406					𒜨	BAHAR2~a	BAHAR₂~a	BAHAR2-A
406.1					𒜩	BAHAR2~a	BAHAR₂~a~v1	BAHAR2-A VARIANT 1
407					𒜪	BAHAR2~b	BAHAR₂~b	BAHAR2-B
407.1					𒜫	BAHAR2~b	BAHAR₂~b~v1	BAHAR2-B VARIANT 1
408					𒜬	BAHAR2~c	BAHAR₂~c	BAHAR2-C
