o0901111	𒥍	1294D	𒪵‍𒬕	𒪵.𒬕	|SAL~1.SILA₄~c~1|	12AB5_E0101_200D_12B15_E0101	𒪵₁.𒬕₁
o0901703	𒪸	12AB8	𒪵‍󳂐	𒪵.󳂐	|SAL~1.ŠU₂~5|	12AB5_E0101_200D_12B91_E0105	𒪵₁.𒮑₅
o0901705	󳀎	F300E	𒪵‍𒵵	𒪵.𒵵	|SAL~1.ZATU751~a~1|	12AB5_E0101_200D_12D75_E0101	𒪵₁.𒵵₁
o0901706	󳄄	F3104	𒪵‍𒵶	𒪵.𒵶	|SAL~1.ZATU751~b~1|	12AB5_E0101_200D_12D76_E0101	𒪵₁.𒵶₁
o0901707	󳄂	F3102	𒪵‍󳀏	𒪵.󳀏	|SAL~1.ZATU751~c~1|	12AB5_E0101_200D_F300F_E0101	𒪵₁.󳀏₁
o0902072	󲨒	F2A12	𒬝‍𒥬‍𒪥	𒬝.𒥬.𒪥	|SU~a~2.KUR~a~1.RU~2|	12B1B_E0102_200D_1296C_E0101_200D_12AA3_E0102	𒬛₂.𒥬₁.𒪣₂
o0901953	𒭓	12B53	𒭒‍𒥈	𒭒.𒥈	|ŠE~a~1.KIN₂~c~1|	12B52_E0101_200D_12948_E0101	𒭒₁.𒥈₁
o0901955	𒭕	12B55	𒭒‍𒨣	𒭒.𒨣	|ŠE~a~1.NAM₂~1|	12B52_E0101_200D_12A23_E0101	𒭒₁.𒨣₁
o0901955	𒭔	12B54	𒭒‍󳃻	𒭒.󳃻	|ŠE~a~1.NAM₂~2|	12B52_E0101_200D_12A23_E0102	𒭒₁.𒨣₂
o0901953	󳃉	F30C9	𒭗‍𒥈	𒭗.𒥈	|ŠE~a@t~1.KIN₂~c~1|	12B57_E0101_200D_12948_E0101	𒭗₁.𒥈₁
o0901477	𒨫	12A2B	𒭭‍𒨋	𒭭.𒨋	|ŠEŠ~a~1.NA~a~1|	12B6D_E0101_200D_12A0B_E0101	𒭭₁.𒨋₁
o0901268	𒦥	129A5	𒭻‍𒧯	𒭻.𒧯	|ŠITA~a1~1.MUD₃~a~1|	12B7B_E0101_200D_129EF_E0101	𒭻₁.𒧯₁
o0902045	𒮓	12B93	𒮑‍𒟖	𒮑.𒟖	|ŠU₂~1.EN~a~1|	12B91_E0101_200D_127D6_E0101	𒮑₁.𒟖₁
o0902041	𒮒	12B92	𒮘‍𒛌	𒮘.𒛌	|ŠU₂~2.AN~3|	12B91_E0102_200D_126CD_E0103	𒮑₂.𒛍₃
o0902054	󳀄	F3004	𒮘‍𒪑	𒮘.𒪑	|ŠU₂~2.PAP~a~1|	12B91_E0102_200D_12A91_E0101	𒮑₂.𒪑₁
o0902045	󳃌	F30CC	󳃼‍𒟖	󳃼.𒟖	|ŠU₂~3.EN~a~1|	12B91_E0103_200D_127D6_E0101	𒮑₃.𒟖₁
o0902043	𒮙	12B99	󳂐‍𒟊	󳂐.𒟊	|ŠU₂~5.E₂~a~1|	12B91_E0105_200D_127CA_E0101	𒮑₅.𒟊₁
o0902044	𒮚	12B9A	󳂐‍𒟎	󳂐.𒟎	|ŠU₂~5.E₂~b~1|	12B91_E0105_200D_127CE_E0101	𒮑₅.𒟎₁
o0902045	𒮔	12B94	󳂐‍𒟖	󳂐.𒟖	|ŠU₂~5.EN~a~1|	12B91_E0105_200D_127D6_E0101	𒮑₅.𒟖₁
o0902048	𒮕	12B95	󳂐‍𒟚	󳂐.𒟚	|ŠU₂~5.EN~b~1|	12B91_E0105_200D_127DA_E0101	𒮑₅.𒟚₁
o0902049	𒮛	12B9B	󳂐‍𒢧	󳂐.𒢧	|ŠU₂~5.GIŠ~1|	12B91_E0105_200D_128A7_E0101	𒮑₅.𒢧₁
