𒨖	o0901452	12A16	NAGA~a
𒧃	o0901322	129C3	MAGUR~a
𒝪	o0900326	1276A	|(DUB@n~a×1(N58))~b|
𒤪	o0901063	1292A	KALAM~b
𒞡	o0900456	127A1	|DUG~b×UH₃~a|
𒘪	o0903123	1262A	2(N42A)
𒚓	o0900006	12693	|A×ŠUBUR|
𒟣	o0900529	127E3	EN₂
󰄗	o0903275	F0117	8(N57)
𒯥	o0902165	12BE5	|U₄.3(N08)|
𒚱	o0900055	126B1	AD~c
𒖤	o0903203	125A4	2(N54)
󰃖	o0903554	F00D6	2(N54)~1
𒠃	o0900552	12803	EZEN~b
󳀵	o0900404	F3035	|DUG~b×1(N58)|
𒠻	o0900703	1283B	|GA₂~a2×ŠE₃|
𒣲	o0900978	128F2	HI@g~c
𒡣	o0900775	12863	|GAN~c×ZATU777|
𒙃	o0902926	12643	1(N09)
𒵞	o0902669	12D5E	|ZATU737×NI~a@g|
󳃓	o0903726	F30D3	|ZATU737×NI~a@g|~1
