o0980303	12782	𒞂	|E₂~b×1(N58@t)|	PROTO-CUNEIFORM SIGN E2-B TIMES ONE-N58 TENU
o0980304	12783	𒞃	E₂~c	PROTO-CUNEIFORM SIGN E2-C
o0980305	12784	𒞄	E₂~d	PROTO-CUNEIFORM SIGN E2-D
o0980307	12785	𒞅	E₃~b	PROTO-CUNEIFORM SIGN E3-B
o0980308	12786	𒞆	EDIN	PROTO-CUNEIFORM SIGN EDIN
o0980309	12787	𒞇	EN~a	PROTO-CUNEIFORM SIGN EN-A
o0980310	12788	𒞈	EN~b	PROTO-CUNEIFORM SIGN EN-B
o0980311	12789	𒞉	EN~b@t	PROTO-CUNEIFORM SIGN EN-B TENU
o0980312	1278A	𒞊	EN~c	PROTO-CUNEIFORM SIGN EN-C
o0980315	1278B	𒞋	EN@g~a	PROTO-CUNEIFORM SIGN EN GUNU-A
o0980316	1278C	𒞌	EN@g~b	PROTO-CUNEIFORM SIGN EN GUNU-B
o0980317	1278D	𒞍	EN₂	PROTO-CUNEIFORM SIGN EN2
o0980326	1278E	𒞎	ERIM~a	PROTO-CUNEIFORM SIGN ERIM-A
o0980327	1278F	𒞏	ERIM~b1	PROTO-CUNEIFORM SIGN ERIM-B1
o0980328	12790	𒞐	ERIM~b2	PROTO-CUNEIFORM SIGN ERIM-B2
o0980330	12791	𒞑	ERIN	PROTO-CUNEIFORM SIGN ERIN
o0980331	12792	𒞒	EŠDA	PROTO-CUNEIFORM SIGN ESHDA
o0980332	12793	𒞓	|EŠDA×TAR~a|	PROTO-CUNEIFORM SIGN ESHDA TIMES TAR-A
o0980333	12794	𒞔	EŠGAR	PROTO-CUNEIFORM SIGN ESHGAR
o0980334	12795	𒞕	EZEN~a	PROTO-CUNEIFORM SIGN EZEN-A
o0980336	12796	𒞖	|EZEN~a×EN~b|	PROTO-CUNEIFORM SIGN EZEN-A TIMES EN-B
o0980337	12797	𒞗	|EZEN~a×(HI×1(N57).AN)|	PROTO-CUNEIFORM SIGN EZEN-A TIMES HI TIMES ONE-N57 PLUS AN
o0980338	12798	𒞘	|EZEN~a×KAB|	PROTO-CUNEIFORM SIGN EZEN-A TIMES KAB
o0980339	12799	𒞙	|EZEN~a×KAŠ~b|	PROTO-CUNEIFORM SIGN EZEN-A TIMES KASH-B
o0980340	1279A	𒞚	|EZEN~a×KI|	PROTO-CUNEIFORM SIGN EZEN-A TIMES KI
o0980342	1279B	𒞛	|EZEN~a×NIM~b2|	PROTO-CUNEIFORM SIGN EZEN-A TIMES NIM-B2
o0980343	1279C	𒞜	|EZEN~a×NIMGIR|	PROTO-CUNEIFORM SIGN EZEN-A TIMES NIMGIR
o0980344	1279D	𒞝	|EZEN~a×RAD~a|	PROTO-CUNEIFORM SIGN EZEN-A TIMES RAD-A
o0980346	1279E	𒞞	|EZEN~a×SU~a|	PROTO-CUNEIFORM SIGN EZEN-A TIMES SU-A
o0980347	1279F	𒞟	|EZEN~a×(U₂~b.A)|	PROTO-CUNEIFORM SIGN EZEN-A TIMES U2-B PLUS A
o0980348	127A0	𒞠	|EZEN~a×U₄|	PROTO-CUNEIFORM SIGN EZEN-A TIMES U4
o0980350	127A1	𒞡	EZEN~b	PROTO-CUNEIFORM SIGN EZEN-B
o0980351	127A2	𒞢	|EZEN~b×ŠE~a@t|	PROTO-CUNEIFORM SIGN EZEN-B TIMES SHE-A TENU
o0980352	127A3	𒞣	|EZEN~b×6(N57)|	PROTO-CUNEIFORM SIGN EZEN-B TIMES SIX-N57
